id,title,author,book_link,genre,date_published,publisher,num_of_page,lang,rate,Image URL,primary_genre,sub_genre
8941,How to Be Good,Nick Hornby,https://www.goodreads.com/book/show/4268.How_to_Be_Good,"Fiction,Contemporary",August 1st 2003,"Droemer Knaur

            ,",305.0,German,3.23,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1618521286i/4268.jpg,Fiction,Contemporary
8942,Who Was Anne Frank?,"Ann Abramson,Nancy Harrison",https://www.goodreads.com/book/show/43073.Who_Was_Anne_Frank_,"Biography,Nonfiction",January 18th 2007,Penguin Workshop,112.0,English,4.28,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1386924838i/43073.jpg,Biography,Nonfiction
8943,Pandemonium,Daryl Gregory,https://www.goodreads.com/book/show/37805404-pandemonium,"Fantasy,Horror",August 26th 2008,"Del Rey

            ,",306.0,English,3.82,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1514996805i/37805404.jpg,Fantasy,Horror
8945,Woods Runner,Gary Paulsen,https://www.goodreads.com/book/show/6795756-woods-runner,"Historical,Historical Fiction",January 12th 2010,"Wendy Lamb Books

            ,",176.0,English,3.85,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320552751i/6795756.jpg,Historical,Historical Fiction
8946,"Vampire, Interrupted (Argeneau #9)",Lynsay Sands,https://www.goodreads.com/book/show/1422252.Vampire_Interrupted,"Romance,Romance",February 26th 2008,Avon,370.0,English,4.34,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1410758592i/1422252.jpg,Romance,Romance
8947,Veniss Underground,Jeff VanderMeer,https://www.goodreads.com/book/show/230853.Veniss_Underground,"Fantasy,Science Fiction",September 27th 2005,"Spectra

            ,",278.0,English,3.79,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1386921394i/230853.jpg,Fantasy,Science Fiction
8948,"The Devil's Chord (Rogue Angel, #49)","Alex Archer,Michele Hauf",https://www.goodreads.com/book/show/18722894-the-devil-s-chord,"Fantasy,Adventure",November 2nd 2013,Gold Eagle,320.0,English,3.86,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1397766342i/18722894.jpg,Fantasy,Adventure
8949,"Cemetery Dance (Pendergast, #9)","Douglas Preston,Lincoln Child",https://www.goodreads.com/book/show/2197227.Cemetery_Dance,"Mystery,Thriller",May 12th 2009,Grand Central Publishing,435.0,English,4.01,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1442910567i/2197227.jpg,Mystery,Thriller
8950,Champlain's Dream,David Hackett Fischer,https://www.goodreads.com/book/show/4531763-champlain-s-dream,"History,Biography",October 14th 2008,Simon & Schuster,834.0,English,4.25,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1440650858i/4531763.jpg,History,Biography
8951,Gardenias,Faith  Sullivan,https://www.goodreads.com/book/show/386610.Gardenias,"Fiction,Historical",August 23rd 2006,"Milkweed Editions

            ,",392.0,English,3.89,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1389752472i/386610.jpg,Fiction,Historical
8952,Healing Invisible Wounds: Paths to Hope and Recovery in a Violent World,Richard F. Mollica,https://www.goodreads.com/book/show/769447.Healing_Invisible_Wounds,"Nonfiction,Psychology",December 4th 2006,Houghton Mifflin Harcourt,288.0,English,4.15,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328876703i/769447.jpg,Nonfiction,Psychology
8953,"The Fire Chronicle (The Books of Beginning, #2)",John  Stephens,https://www.goodreads.com/book/show/13262797-the-fire-chronicle,"Fantasy,Childrens",October 9th 2012,"Knopf Books for Young Readers

            ,",437.0,English,4.23,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1403664360i/13262797.jpg,Fantasy,Childrens
8954,"Let Me Go (Archie Sheridan & Gretchen Lowell, #6)",Chelsea Cain,https://www.goodreads.com/book/show/16044959-let-me-go,"Mystery,Thriller",August 13th 2013,Minotaur Books,358.0,English,4.02,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1354846777i/16044959.jpg,Mystery,Thriller
8955,"All Spell Breaks Loose (Raine Benares, #6)",Lisa Shearin,https://www.goodreads.com/book/show/13074442-all-spell-breaks-loose,"Fantasy,Fantasy",May 29th 2012,"Ace

            ,",292.0,English,4.15,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327620980i/13074442.jpg,Fantasy,Fantasy
8956,"Alias, Vol. 1 Omnibus","Brian Michael Bendis,Michael Gaydos",https://www.goodreads.com/book/show/105915.Alias_Vol_1_Omnibus,"Sequential Art,Comics",March 31st 2006,Marvel,592.0,English,4.4,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1523309562i/105915.jpg,Sequential Art,Comics
8957,Doctor Who: Apollo 23,Justin Richards,https://www.goodreads.com/book/show/7670580-doctor-who,"Media Tie In,Doctor Who",April 22nd 2010,BBC Books,248.0,English,3.81,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1360096334i/7670580.jpg,Media Tie In,Doctor Who
8958,The Problem Child (The Sisters Grimm #3),"Michael Buckley,Peter Ferguson",https://www.goodreads.com/book/show/176326.The_Problem_Child,"Fantasy,Mystery",April 1st 2006,Harry N. Abrams,320.0,English,4.28,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1349015533i/176326.jpg,Fantasy,Mystery
8959,"Lustrum (Cicero, #2)",Robert   Harris,https://www.goodreads.com/book/show/8539784-lustrum,"Historical,Historical Fiction",July 8th 2010,"Arrow

            ,",452.0,English,4.22,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328032095i/8539784.jpg,Historical,Historical Fiction
8960,"Legend Trilogy Boxed Set (Legend, #1-3)",Marie Lu,https://www.goodreads.com/book/show/17929102-legend-trilogy-boxed-set,"Science Fiction,Dystopia",November 5th 2013,"Putnam Juvenile

            ,",1088.0,English,4.58,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1368726621i/17929102.jpg,Science Fiction,Dystopia
8961,Kiln People,"David Brin,Beth Meacham",https://www.goodreads.com/book/show/96478.Kiln_People,"Science Fiction,Fiction",December 2002,"Tor Science Fiction

            ,",569.0,English,3.85,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1287261951i/96478.jpg,Science Fiction,Fiction
8962,Her Fearful Symmetry,Audrey Niffenegger,https://www.goodreads.com/book/show/6202342-her-fearful-symmetry,"Fiction,Fantasy",September 29th 2009,Jonathan Cape Ltd,406.0,English,3.27,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327939087i/6202342.jpg,Fiction,Fantasy
8963,I Suck at Girls,Justin Halpern,https://www.goodreads.com/book/show/12941302-i-suck-at-girls,"Humor,Nonfiction",May 15th 2012,It Books,180.0,English,3.77,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1335471343i/12941302.jpg,Humor,Nonfiction
8964,Well Then There Now,Juliana Spahr,https://www.goodreads.com/book/show/8254692-well-then-there-now,"Poetry,Academic",May 17th 2011,Black Sparrow Press,155.0,English,4.25,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1347684696i/8254692.jpg,Poetry,Academic
8965,The Lake of Dreams,Kim Edwards,https://www.goodreads.com/book/show/9213976-the-lake-of-dreams,"Fiction,Mystery",January 4th 2011,"Viking

            ,",377.0,English,3.18,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1292466643i/9213976.jpg,Fiction,Mystery
8966,Angry Aztecs,"Terry Deary,Martin    Brown",https://www.goodreads.com/book/show/120815.Angry_Aztecs,"History,Nonfiction",October 17th 1997,Scholastic Hippo,128.0,English,3.98,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1311449320i/120815.jpg,History,Nonfiction
8967,"Storm Warning (The 39 Clues, #9)",Linda Sue Park,https://www.goodreads.com/book/show/6697305-storm-warning,"Mystery,Adventure",May 25th 2010,Scholastic Inc.,190.0,English,4.0,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1357211087i/6697305.jpg,Mystery,Adventure
8969,The Sigma Protocol,Robert Ludlum,https://www.goodreads.com/book/show/31260.The_Sigma_Protocol,"Fiction,Thriller",October 13th 2002,"St. Martin's Paperbacks

            ,",662.0,English,3.82,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388187740i/31260.jpg,Fiction,Thriller
8970,The Fire This Time: A New Generation Speaks About Race,"Jesmyn Ward,Kima Jones,Garnette Cadogan,Claudia Rankine,Emily Raboteau,Mitchell S. Jackson,Natasha Trethewey,Daniel José Older",https://www.goodreads.com/book/show/28505023-the-fire-this-time,"Nonfiction,Writing",August 2nd 2016,Scribner,226.0,English,4.36,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1469969005i/28505023.jpg,Nonfiction,Writing
8971,"Pokémon Adventures, Vol. 8","Hidenori Kusaka,Mato,Satoshi Yamamoto,Gyo Araiwa",https://www.goodreads.com/book/show/7326786-pok-mon-adventures-vol-8,"Sequential Art,Manga",August 3rd 2010,"VIZ Media - Children's

            ,",232.0,English,4.39,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1679404444i/7326786.jpg,Sequential Art,Manga
8973,Norse Mythology,Neil Gaiman,https://www.goodreads.com/book/show/37903770-norse-mythology,"Fantasy,Fantasy",March 6th 2018,"W. W. Norton & Company

            ,",301.0,English,4.08,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1516128292i/37903770.jpg,Fantasy,Fantasy
8974,How to Become a Planet,Nicole Melleby,https://www.goodreads.com/book/show/54110567-how-to-become-a-planet,"Childrens,Middle Grade",May 25th 2021,Algonquin Young Readers,288.0,English,4.34,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1601569897i/54110567.jpg,Childrens,Middle Grade
8975,Stigma,Philip Hawley Jr.,https://www.goodreads.com/book/show/286412.Stigma,"Mystery,Thriller",March 1st 2007,"HarperCollins Publishers

            ,",482.0,English,3.69,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1173418210i/286412.jpg,Mystery,Thriller
8978,The Republic of Pirates: Being the True and Surprising Story of the Caribbean Pirates and the Man Who Brought Them Down,Colin Woodard,https://www.goodreads.com/book/show/442239.The_Republic_of_Pirates,"History,Nonfiction",May 7th 2007,"Houghton Mifflin Harcourt

            ,",400.0,English,3.87,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328876830i/442239.jpg,History,Nonfiction
8979,Featherweight,Lina Langley,https://www.goodreads.com/book/show/38333225-featherweight,"Romance,M M Romance",July 23rd 2017,L.M. Langley,274.0,English,2.21,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1517615997i/38333225.jpg,Romance,M M Romance
8980,"Remember Me (Remember Me, #1-3)",Christopher Pike,https://www.goodreads.com/book/show/7148787-remember-me,"Young Adult,Fantasy",July 6th 2010,Simon Pulse,789.0,English,4.13,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1280453505i/7148787.jpg,Young Adult,Fantasy
8981,Single White Vampire (Argeneau #3),Lynsay Sands,https://www.goodreads.com/book/show/263149.Single_White_Vampire,"Romance,Paranormal Romance",September 1st 2003,Dorchester Publishing,369.0,English,4.17,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1354343077i/263149.jpg,Romance,Paranormal Romance
8982,"The Triumph of the Sun (The Ballantyne Novels, #5; Courtney, #12)",Wilbur Smith,https://www.goodreads.com/book/show/509647.The_Triumph_of_the_Sun,"Historical,Historical Fiction",April 4th 2006,"St. Martin's Press

            ,",635.0,English,4.07,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1317793005i/509647.jpg,Historical,Historical Fiction
8983,A Day in the Life of Marlon Bundo,"Jill Twiss,E.G. Keller",https://www.goodreads.com/book/show/39319227-a-day-in-the-life-of-marlon-bundo,"Childrens,Picture Books",March 18th 2018,Chronicle Books LLC,35.0,English,4.58,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1521430068i/39319227.jpg,Childrens,Picture Books
8984,"The Pretender's Gambit (Rogue Angel, #51)","Alex Archer,Mel Odom",https://www.goodreads.com/book/show/21535756-the-pretender-s-gambit,"Fantasy,Mystery",November 4th 2014,"Gold Eagle

            ,",320.0,English,3.92,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1400140700i/21535756.jpg,Fantasy,Mystery
