id,title,author,book_link,genre,date_published,publisher,num_of_page,lang,rate,Image URL,primary_genre,sub_genre
189,"The Rosie Project (Don Tillman, #1)",Graeme Simsion,https://www.goodreads.com/book/show/16181775-the-rosie-project,"Fiction,Romance",October 1st 2013,"Simon & Schuster

            ,",295,English,4.01,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1371651741i/16181775.jpg,Fiction,Romance
190,"Poison Study (Study, #1)",Maria V. Snyder,https://www.goodreads.com/book/show/60510.Poison_Study,"Fantasy,Young Adult",March 1st 2007,"Mira

            ,",427,English,4.07,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388519019i/60510.jpg,Fantasy,Young Adult
191,The Sea,John Banville,https://www.goodreads.com/book/show/3656.The_Sea,"Fiction,Cultural",August 15th 2006,"Vintage

            ,",195,English,3.52,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1386924824i/3656.jpg,Fiction,Cultural
192,Rules of Civility,Amor Towles,https://www.goodreads.com/book/show/10054335-rules-of-civility,"Fiction,Historical",July 26th 2011,Viking Adult,335,English,4.04,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1311705045i/10054335.jpg,Fiction,Historical
193,Dark Places,Gillian Flynn,https://www.goodreads.com/book/show/5886881-dark-places,"Mystery,Fiction",May 5th 2009,Shaye Areheart Books,349,English,3.93,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1354988288i/5886881.jpg,Mystery,Fiction
194,"Evermore (The Immortals, #1)",Alyson Noel,https://www.goodreads.com/book/show/3975774-evermore,"Young Adult,Fantasy",February 3rd 2009,St. Martin's Griffin,301,English,3.59,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1362336360i/3975774.jpg,Young Adult,Fantasy
195,Explosion in Paris,Linda Masemore Pirrung,https://www.goodreads.com/book/show/6447501-explosion-in-paris,"Romance,Womens Fiction",April 24th 2009,"iUniverse.com

            ,",408,English,3.49,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1347404282i/6447501.jpg,Romance,Womens Fiction
196,"The Physick Book of Deliverance Dane (The Physick Book, #1)",Katherine Howe,https://www.goodreads.com/book/show/4836308-the-physick-book-of-deliverance-dane,"Historical,Historical Fiction",May 22nd 2009,voice,371,English,3.72,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1442770048i/4836308.jpg,Historical,Historical Fiction
197,"City of Heavenly Fire (The Mortal Instruments, #6)",Cassandra Clare,https://www.goodreads.com/book/show/8755785-city-of-heavenly-fire,"Fantasy,Young Adult",May 27th 2014,Margaret K. McElderry Books,725,English,4.39,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1460477794i/8755785.jpg,Fantasy,Young Adult
198,Can You Keep a Secret?,Sophie Kinsella,https://www.goodreads.com/book/show/33724.Can_You_Keep_a_Secret_,"Womens Fiction,Chick Lit",December 27th 2005,"Dell Publishing Company

            ,",374,English,3.84,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1330464293i/33724.jpg,Womens Fiction,Chick Lit
